#;Time;RL points;Agent name;Learning type;Won Episode;Episode time [s];Interest in enemy [%]
187;28.12.2021 00:24:07;-447,2896;Madox;Self play;Draw;299;100%
188;28.12.2021 00:24:07;-338,8765;Jack;Self play;Draw;299;6%
189;28.12.2021 00:24:11;-34,82807;Madox;Self play;Fail;23;100%
190;28.12.2021 00:24:11;-42,02788;Jack;Self play;Win;23;99%
191;28.12.2021 00:24:22;-107,9751;Madox;Self play;Win;63;100%
192;28.12.2021 00:24:22;-113,275;Jack;Self play;Fail;63;100%
193;28.12.2021 00:24:42;-172,6413;Madox;Self play;Win;117;100%
194;28.12.2021 00:24:42;-208,2432;Jack;Self play;Fail;117;100%
195;28.12.2021 00:25:30;-433,7882;Madox;Self play;Draw;299;100%
196;28.12.2021 00:25:30;-458,1875;Jack;Self play;Draw;299;100%
197;28.12.2021 00:25:44;-127,4029;Madox;Self play;Win;87;100%
198;28.12.2021 00:25:44;-131,3029;Jack;Self play;Fail;87;100%
199;28.12.2021 00:26:02;-219,6251;Madox;Self play;Win;101;100%
200;28.12.2021 00:26:02;-199,7237;Jack;Self play;Fail;101;100%
201;28.12.2021 00:26:11;-62,35347;Madox;Self play;Fail;45;100%
202;28.12.2021 00:26:11;-177,1553;Jack;Self play;Win;45;100%
203;28.12.2021 00:27:10;-535,3849;Madox;Self play;Draw;299;98%
204;28.12.2021 00:27:10;-1180,221;Jack;Self play;Draw;299;98%
205;28.12.2021 00:27:37;-164,6375;Madox;Self play;Fail;114;100%
206;28.12.2021 00:27:37;-441,7586;Jack;Self play;Win;114;100%
207;28.12.2021 00:28:35;-263,966;Madox;Self play;Draw;299;99%
208;28.12.2021 00:28:35;-1168,623;Jack;Self play;Draw;299;90%
209;28.12.2021 00:29:28;-260,7653;Madox;Self play;Draw;300;100%
210;28.12.2021 00:29:28;-1197,618;Jack;Self play;Draw;300;100%
211;28.12.2021 00:29:48;-139,028;Madox;Self play;Win;107;96%
212;28.12.2021 00:29:48;-131,2273;Jack;Self play;Fail;107;100%
213;28.12.2021 00:30:36;-322,6734;Madox;Self play;Draw;299;90%
214;28.12.2021 00:30:36;-245,6631;Jack;Self play;Draw;299;90%
215;28.12.2021 00:30:48;-96,58347;Madox;Self play;Win;70;100%
216;28.12.2021 00:30:48;-105,8835;Jack;Self play;Fail;70;100%
217;28.12.2021 00:31:37;-304,8736;Madox;Self play;Draw;299;77%
218;28.12.2021 00:31:37;-339,4766;Jack;Self play;Draw;299;77%
219;28.12.2021 00:32:24;-280,7705;Madox;Self play;Draw;300;94%
220;28.12.2021 00:32:24;-269,968;Jack;Self play;Draw;300;94%
221;28.12.2021 00:32:38;-116,5967;Madox;Self play;Win;81;80%
222;28.12.2021 00:32:38;-125,5965;Jack;Self play;Fail;81;80%
223;28.12.2021 00:33:36;-221,9617;Madox;Self play;Draw;299;39%
224;28.12.2021 00:33:36;-373,9794;Jack;Self play;Draw;299;39%
225;28.12.2021 00:34:33;-166,3582;Madox;Self play;Draw;300;100%
226;28.12.2021 00:34:33;-388,2856;Jack;Self play;Draw;300;100%
227;28.12.2021 00:35:10;-158,4428;Madox;Self play;Win;203;24%
228;28.12.2021 00:35:10;-252,6484;Jack;Self play;Fail;203;100%
