#;Time;RL points;Agent name;Learning type;Won episode;Episode iterations;Episode time [s];Interest in enemy [%]
229;31.12.2021 06:45:28;-59,78712;Madox;Self play;Fail;2;394;35%
230;31.12.2021 06:45:28;-32,67955;Jack;Self play;Win;2;394;100%
231;31.12.2021 06:46:42;-24,8011;Madox;Self play;Fail;2;369;100%
232;31.12.2021 06:46:42;-23,57048;Jack;Self play;Win;2;369;98%
233;31.12.2021 06:48:01;-36,15838;Madox;Self play;Fail;2;394;98%
234;31.12.2021 06:48:01;-34,28299;Jack;Self play;Win;2;394;94%
235;31.12.2021 06:48:05;-8,510069;Madox;Self play;Fail;1;21;100%
236;31.12.2021 06:48:05;-6,39011;Jack;Self play;Win;1;21;100%
237;31.12.2021 06:48:08;-2,279994;Madox;Self play;Win;1;14;100%
238;31.12.2021 06:48:08;-6,580007;Jack;Self play;Fail;1;14;100%
239;31.12.2021 06:48:22;-14,85;Madox;Self play;Fail;1;76;100%
240;31.12.2021 06:48:22;1,542011;Jack;Self play;Win;1;76;100%
241;31.12.2021 06:48:26;-9,60004;Madox;Self play;Fail;1;21;100%
242;31.12.2021 06:48:26;-5,825018;Jack;Self play;Win;1;21;100%
243;31.12.2021 06:48:32;-4,460086;Madox;Self play;Win;1;29;95%
244;31.12.2021 06:48:32;-7,215017;Jack;Self play;Fail;1;29;95%
245;31.12.2021 06:48:33;-5,81;Madox;Self play;Fail;1;8;100%
246;31.12.2021 06:48:33;-2,999997;Jack;Self play;Win;1;8;100%
247;31.12.2021 06:48:37;-2,332506;Madox;Self play;Win;1;19;100%
248;31.12.2021 06:48:37;-6,765004;Jack;Self play;Fail;1;19;100%
249;31.12.2021 06:49:07;-14,1083;Madox;Self play;Fail;1;169;99%
250;31.12.2021 06:49:07;-7,465046;Jack;Self play;Win;1;169;88%
251;31.12.2021 06:50:10;-27,24521;Madox;Self play;Fail;2;331;17%
252;31.12.2021 06:50:10;-37,42712;Jack;Self play;Win;2;331;98%
253;31.12.2021 06:52:15;-37,53071;Madox;Self play;Win;3;675;61%
254;31.12.2021 06:52:15;-70,65662;Jack;Self play;Fail;3;675;100%
255;31.12.2021 06:53:18;-33,4102;Madox;Self play;Fail;2;327;16%
256;31.12.2021 06:53:18;-36,12721;Jack;Self play;Win;2;327;99%
257;31.12.2021 06:54:29;-22,16816;Madox;Self play;Win;2;341;22%
258;31.12.2021 06:54:29;-42,88914;Jack;Self play;Fail;2;341;100%
259;31.12.2021 06:54:34;-3,375508;Madox;Self play;Win;1;21;100%
260;31.12.2021 06:54:34;-6,945007;Jack;Self play;Fail;1;21;100%
261;31.12.2021 06:57:08;-108,4668;Madox;Self play;Win;3;830;100%
262;31.12.2021 06:57:08;-78,85815;Jack;Self play;Fail;3;830;67%
263;31.12.2021 06:57:12;-8,070017;Madox;Self play;Fail;1;22;100%
264;31.12.2021 06:57:12;-1,713492;Jack;Self play;Win;1;22;100%
265;31.12.2021 06:57:42;-14,15011;Madox;Self play;Win;1;156;15%
266;31.12.2021 06:57:42;-23,41007;Jack;Self play;Fail;1;156;15%
267;31.12.2021 06:57:55;-5,730086;Madox;Self play;Win;1;75;94%
268;31.12.2021 06:57:55;-9,966547;Jack;Self play;Fail;1;75;94%
269;31.12.2021 06:58:18;-21,80008;Madox;Self play;Fail;1;128;18%
270;31.12.2021 06:58:18;-8,110089;Jack;Self play;Win;1;128;18%
271;31.12.2021 07:02:42;-159,8814;Madox;Self play;Fail;5;1349;33%
272;31.12.2021 07:02:42;-119,3825;Jack;Self play;Win;5;1349;7%
273;31.12.2021 07:02:44;-5,144998;Madox;Self play;Fail;1;11;100%
274;31.12.2021 07:02:44;-2,875022;Jack;Self play;Win;1;11;100%
275;31.12.2021 07:03:03;-8,244926;Madox;Self play;Win;1;102;97%
276;31.12.2021 07:03:03;-9,344494;Jack;Self play;Fail;1;102;100%
277;31.12.2021 07:03:24;-15,00601;Madox;Self play;Fail;1;116;48%
278;31.12.2021 07:03:24;-0,9225161;Jack;Self play;Win;1;116;69%
279;31.12.2021 07:04:08;-28,56162;Madox;Self play;Fail;1;242;100%
280;31.12.2021 07:04:08;-3,1325;Jack;Self play;Win;1;242;13%
281;31.12.2021 07:04:40;-8,732579;Madox;Self play;Win;1;184;20%
282;31.12.2021 07:04:40;-27,77011;Jack;Self play;Fail;1;184;20%
283;31.12.2021 07:05:47;-49,10617;Madox;Self play;Win;2;355;100%
284;31.12.2021 07:05:47;-45,54882;Jack;Self play;Fail;2;355;100%
285;31.12.2021 07:05:50;-1,548995;Madox;Self play;Win;1;14;100%
286;31.12.2021 07:05:50;-7,948288;Jack;Self play;Fail;1;14;100%
287;31.12.2021 07:05:54;-4,964999;Madox;Self play;Fail;1;19;100%
288;31.12.2021 07:05:54;-1,731993;Jack;Self play;Win;1;19;100%
289;31.12.2021 07:05:59;-4,140559;Madox;Self play;Win;1;22;100%
290;31.12.2021 07:05:59;-5,430505;Jack;Self play;Fail;1;22;100%
291;31.12.2021 07:06:05;0,4690063;Madox;Self play;Win;1;30;100%
292;31.12.2021 07:06:05;-10,40182;Jack;Self play;Fail;1;30;100%
293;31.12.2021 07:08:47;-26,30273;Madox;Self play;Win;3;808;84%
294;31.12.2021 07:08:47;-73,75986;Jack;Self play;Fail;3;808;99%
295;31.12.2021 07:08:51;-4,800083;Madox;Self play;Win;1;16;100%
296;31.12.2021 07:08:51;-4,684999;Jack;Self play;Fail;1;16;100%
297;31.12.2021 07:10:57;-66,80592;Madox;Self play;Win;3;627;4%
298;31.12.2021 07:10:57;-76,24004;Jack;Self play;Fail;3;627;4%
299;31.12.2021 07:11:01;-5,525;Madox;Self play;Fail;1;15;100%
300;31.12.2021 07:11:01;-3,370013;Jack;Self play;Win;1;15;100%
301;31.12.2021 07:11:13;-10,01251;Madox;Self play;Fail;1;68;60%
302;31.12.2021 07:11:13;2,544984;Jack;Self play;Win;1;68;60%
303;31.12.2021 07:12:42;-40,39646;Madox;Self play;Win;2;494;18%
304;31.12.2021 07:12:42;-69,19833;Jack;Self play;Fail;2;494;18%
305;31.12.2021 07:14:53;-54,83586;Madox;Self play;Win;3;649;11%
306;31.12.2021 07:14:53;-79,10564;Jack;Self play;Fail;3;649;29%
307;31.12.2021 07:15:00;0,5150066;Madox;Self play;Win;1;31;100%
308;31.12.2021 07:15:00;-9,165003;Jack;Self play;Fail;1;31;100%
309;31.12.2021 07:15:03;0,4450027;Madox;Self play;Win;1;13;100%
310;31.12.2021 07:15:03;-5,195;Jack;Self play;Fail;1;13;100%
311;31.12.2021 07:15:06;-7,740009;Madox;Self play;Fail;1;17;100%
312;31.12.2021 07:15:06;2,871253;Jack;Self play;Win;1;17;100%
313;31.12.2021 07:15:12;-9,090004;Madox;Self play;Fail;1;30;100%
314;31.12.2021 07:15:12;0,8775085;Jack;Self play;Win;1;30;100%
315;31.12.2021 07:15:38;-10,24009;Madox;Self play;Win;1;134;87%
316;31.12.2021 07:15:38;-7,599741;Jack;Self play;Fail;1;134;87%
317;31.12.2021 07:18:47;-103,3639;Madox;Self play;Fail;4;1035;81%
318;31.12.2021 07:18:47;-103,3645;Jack;Self play;Win;4;1035;68%
319;31.12.2021 07:19:48;-17,70948;Madox;Self play;Fail;2;334;21%
320;31.12.2021 07:19:48;-32,62936;Jack;Self play;Win;2;334;100%
321;31.12.2021 07:21:16;-32,72194;Madox;Self play;Fail;2;434;39%
322;31.12.2021 07:21:16;-29,41542;Jack;Self play;Win;2;434;79%
323;31.12.2021 07:24:16;-87,64704;Madox;Self play;Win;4;968;72%
324;31.12.2021 07:24:16;-94,11681;Jack;Self play;Fail;4;968;100%
325;31.12.2021 07:25:14;-15,36763;Madox;Self play;Fail;2;320;100%
326;31.12.2021 07:25:14;-14,64023;Jack;Self play;Win;2;320;100%
327;31.12.2021 07:25:39;-21,14005;Madox;Self play;Fail;1;129;100%
328;31.12.2021 07:25:39;5,36049;Jack;Self play;Win;1;129;100%
329;31.12.2021 07:25:47;-6,890169;Madox;Self play;Win;1;48;100%
330;31.12.2021 07:25:47;-7,880016;Jack;Self play;Fail;1;48;100%
331;31.12.2021 07:25:59;-13,29264;Madox;Self play;Fail;1;62;100%
332;31.12.2021 07:25:59;-0,8710029;Jack;Self play;Win;1;62;100%
333;31.12.2021 07:26:55;-9,120173;Madox;Self play;Win;2;310;100%
334;31.12.2021 07:26:55;-13,9901;Jack;Self play;Fail;2;310;100%
335;31.12.2021 07:27:15;-3,298743;Madox;Self play;Fail;1;81;98%
336;31.12.2021 07:27:15;-5,065003;Jack;Self play;Win;1;81;98%
337;31.12.2021 07:29:22;-64,53627;Madox;Self play;Fail;3;664;56%
338;31.12.2021 07:29:22;-60,57321;Jack;Self play;Win;3;664;13%
339;31.12.2021 07:29:50;-19,64999;Madox;Self play;Fail;1;149;100%
340;31.12.2021 07:29:50;-21,80188;Jack;Self play;Win;1;149;100%
341;31.12.2021 07:30:15;-21,4661;Madox;Self play;Fail;1;129;100%
342;31.12.2021 07:30:15;-11,90008;Jack;Self play;Win;1;129;100%
343;31.12.2021 07:30:39;-9,050072;Madox;Self play;Win;1;130;14%
344;31.12.2021 07:30:39;-22,2251;Jack;Self play;Fail;1;130;14%
345;31.12.2021 07:31:00;-5,575115;Madox;Self play;Win;1;122;77%
346;31.12.2021 07:31:00;-14,52003;Jack;Self play;Fail;1;122;77%
347;31.12.2021 07:31:13;-9,295005;Madox;Self play;Fail;1;68;92%
348;31.12.2021 07:31:13;-5,268432;Jack;Self play;Win;1;68;92%
349;31.12.2021 07:34:31;-82,62293;Madox;Self play;Win;4;1008;73%
