#;Time;RL points;Agent name;Learning type;Won episode;Episode iterations;Episode time [s];Interest in enemy [%]
133;12.01.2022 04:45:22;-34,50537;Madox;Self play;Fail;1;94;100%
134;12.01.2022 04:45:22;-30,58319;Jack;Self play;Win;1;94;100%
135;12.01.2022 04:46:05;-106,0205;Madox;Self play;Win;2;389;32%
136;12.01.2022 04:46:05;-143,0011;Jack;Self play;Fail;2;389;88%
137;12.01.2022 04:46:07;0,4475037;Madox;Self play;Win;1;16;100%
138;12.01.2022 04:46:07;-12,87011;Jack;Self play;Fail;1;16;100%
139;12.01.2022 04:46:20;-34,98707;Madox;Self play;Win;1;116;41%
140;12.01.2022 04:46:20;-61,30173;Jack;Self play;Fail;1;116;41%
141;12.01.2022 04:46:33;-29,99322;Madox;Self play;Win;1;115;100%
142;12.01.2022 04:46:33;-55,75733;Jack;Self play;Fail;1;115;100%
143;12.01.2022 04:46:41;-22,2921;Madox;Self play;Fail;1;57;100%
144;12.01.2022 04:46:41;-22,1005;Jack;Self play;Win;1;57;100%
145;12.01.2022 04:46:56;-30,8158;Madox;Self play;Win;1;127;99%
146;12.01.2022 04:46:56;-67,36126;Jack;Self play;Fail;1;127;99%
147;12.01.2022 04:47:57;-83,47895;Madox;Self play;Win;2;494;12%
148;12.01.2022 04:47:57;-253,6359;Jack;Self play;Fail;2;494;99%
149;12.01.2022 04:48:11;-33,16592;Madox;Self play;Fail;1;111;100%
150;12.01.2022 04:48:11;-24,16548;Jack;Self play;Win;1;111;57%
151;12.01.2022 04:48:19;-28,93538;Madox;Self play;Fail;1;75;100%
152;12.01.2022 04:48:19;-21,02295;Jack;Self play;Win;1;75;100%
153;12.01.2022 04:48:25;-18,83523;Madox;Self play;Fail;1;50;100%
154;12.01.2022 04:48:25;-14,79537;Jack;Self play;Win;1;50;100%
155;12.01.2022 04:48:34;-33,4804;Madox;Self play;Fail;1;82;100%
156;12.01.2022 04:48:34;-16,46791;Jack;Self play;Win;1;82;100%
157;12.01.2022 04:48:49;-28,34556;Madox;Self play;Win;1;128;26%
158;12.01.2022 04:48:49;-43,49145;Jack;Self play;Fail;1;128;100%
159;12.01.2022 04:49:00;-33,763;Madox;Self play;Fail;1;100;100%
160;12.01.2022 04:49:00;-32,13788;Jack;Self play;Win;1;100;100%
161;12.01.2022 04:49:04;-3,013004;Madox;Self play;Win;1;27;100%
162;12.01.2022 04:49:04;-13,90514;Jack;Self play;Fail;1;27;100%
163;12.01.2022 04:49:22;-38,5899;Madox;Self play;Fail;1;108;47%
164;12.01.2022 04:49:22;-36,28946;Jack;Self play;Win;1;108;47%
165;12.01.2022 04:49:34;-27,3187;Madox;Self play;Win;1;109;100%
166;12.01.2022 04:49:34;-44,24163;Jack;Self play;Fail;1;109;100%
167;12.01.2022 04:49:46;-34,72026;Madox;Self play;Fail;1;94;100%
168;12.01.2022 04:49:46;-29,61571;Jack;Self play;Win;1;94;100%
169;12.01.2022 04:49:53;-9,934712;Madox;Self play;Win;1;56;100%
170;12.01.2022 04:49:53;-27,04408;Jack;Self play;Fail;1;56;100%
171;12.01.2022 04:50:08;-23,34545;Madox;Self play;Win;1;131;49%
172;12.01.2022 04:50:08;-48,67241;Jack;Self play;Fail;1;131;100%
173;12.01.2022 04:50:15;-10,70279;Madox;Self play;Win;1;69;100%
174;12.01.2022 04:50:15;-27,30337;Jack;Self play;Fail;1;69;100%
175;12.01.2022 04:50:19;-2,834996;Madox;Self play;Win;1;29;100%
176;12.01.2022 04:50:19;-14,98267;Jack;Self play;Fail;1;29;100%
177;12.01.2022 04:50:43;-54,67189;Madox;Self play;Win;1;204;27%
